date,et_mm,region,et_mm_fuera_de_rango,es_duplicado
2019-06-01,3.993118658236405,Narino,False,False
2019-07-01,4.140136902801456,Narino,False,False
2019-08-01,3.7580184391594953,Narino,False,False
2019-09-01,2.9267832258411297,Narino,False,False
2019-10-01,3.8831543031648006,Narino,False,False
2019-11-01,3.851787974410626,Narino,False,False
2019-12-01,3.495826089467984,Narino,False,False
2020-01-01,3.79449745401001,Narino,False,False
2020-02-01,3.7741614495598186,Narino,False,False
2020-03-01,3.847770310010414,Narino,False,False
2020-04-01,4.065307900935204,Narino,False,False
2020-05-01,4.347055210807667,Narino,False,False
2020-06-01,4.065193805714923,Narino,False,False
2020-07-01,4.18230250650445,Narino,False,False
2020-08-01,4.101995139987028,Narino,False,False
2020-09-01,3.8260783919292334,Narino,False,False
2020-10-01,3.729948115788022,Narino,False,False
2020-11-01,3.5569103988905386,Narino,False,False
2020-12-01,3.320018074677239,Narino,False,False
2021-01-01,3.361924677743796,Narino,False,False
2021-02-01,3.6748715506100287,Narino,False,False
2021-03-01,3.714473567323077,Narino,False,False
2021-04-01,3.71782707582312,Narino,False,False
2021-05-01,4.147363034309351,Narino,False,False
2021-06-01,3.723069528253031,Narino,False,False
2021-07-01,4.348265124799079,Narino,False,False
2021-08-01,4.055696553200604,Narino,False,False
2021-09-01,4.276523971777574,Narino,False,False
